"year","region","life_expectancy_log_zscore","mortality_log_zscore","gdp_log_zscore","schooling_log_zscore"
2013,"Europe","0.9409311756895038","-0.2861539710517235","1.8249362446015407","1.3204579812023496"
2012,"Europe","0.9153800644390437","-0.2861539710517235","0.6431790846980956","1.302171900306974"
2011,"Europe","0.8811608580577543","-0.24048531795446415","1.7549986256916563","1.2279678265261298"
2010,"Europe","0.8553808825298237","-0.24048531795446415","0.4530036367468815","1.1711663687288467"
2009,"Europe","0.8035227866194076","-0.17599857413970746","1.5523563587477516","1.1133417733358921"
2008,"Europe","0.7687266841824307","-0.16568001526506665","1.4767020432676756","1.0938329072611024"
2007,"Europe","0.7161924654441215","-0.11576689611198927","1.4379824798672822","1.0544561199132472"
2022,"Europe","1.2483160185331093","-0.5887435897615487","-0.8593227581039743","1.0742047197034894"
2021,"Europe","1.2320557082977812","-0.5725806413753421","1.5971255375177964","1.0742047197034894"
2020,"Europe","1.2157559318542837","-0.5566988020398904","0.3722553427213764","1.1133417733358921"
2019,"Europe","1.1912312227325583","-2.628421463944968","1.5882940501505751","1.1327327598980357"
2018,"Europe","1.1912312227325583","-2.628421463944968","1.6395275300251113","1.0938329072611024"
2017,"Europe","1.1748319359576156","-2.628421463944968","1.6038730585863603","1.0938329072611024"
2016,"Europe","1.1583918767322363","-0.5106462167342573","1.6203477713348553","1.0742047197034894"
2015,"Europe","1.150157044572101","-0.5106462167342573","-0.7078656281785682","1.0742047197034894"
2014,"Europe","1.13365702497826","-0.4811861540446646","1.630631015735893","1.034584858681231"
2013,"Europe","1.1253911567562904","-0.452646870605423","0.34209848104274304","1.014589787698633"
2012,"Europe","1.6654710651607636","-0.43870487850855305","1.5427920425219872","0.9742221708222875"
2011,"Europe","1.7413544397168228","-0.43870487850855305","1.5295840882597924","0.9333403034668345"
2010,"Europe","1.017005704286898","-0.35924759049551086","1.460693271071286","0.8919307153848397"
2009,"Europe","1.025405335973821","-0.35924759049551086","1.348960673357953","0.849980009438812"
2008,"Europe","1.0085955534948112","-0.32196964951717966","-2.2611942087815455","0.7860073580465698"
2007,"Europe","0.9748485848954856","-0.29793713768886115","-1.0346069269999743","0.7643967176991825"
2022,"Asia","1.3290334258432657","-0.6051977780622526","1.5830750795359314","0.8710240097578686"
2021,"Asia","1.312967617116743","-0.5725806413753421","0.42366311994068034","0.8710240097578686"
2020,"Asia","1.312967617116743","-0.5887435897615487","0.49484278454350095","0.8710240097578686"
2019,"Asia","1.296863281822674","-0.5566988020398904","0.5416704099869944","0.8710240097578686"
2018,"Asia","1.2320557082977812","-0.4668050262123955","1.7609492740416073","0.8287973059718325"
2017,"Asia","1.2726335187286582","-0.49579738966299847","0.49532014376539596","0.8287973059718325"
2016,"Asia","1.2726335187286582","-0.4668050262123955","0.5406855340521528","0.8074736493894159"
2015,"Asia","1.2483160185331093","-0.43870487850855305","1.6532756307384027","0.8074736493894159"
2014,"Asia","1.2401907847430482","-0.42497254839037213","1.595289534653335","0.8074736493894159"
2013,"Asia","1.2239107653222172","-0.4114436676980443","1.5976811076177944","0.7860073580465698"
